id,title,body,labels,milestone
E1-F1-I1,"E1-F1-I1: Establish authentication scaffolding","### Summary
Set up Laravel Breeze-based authentication with login, registration, and password reset flows to satisfy core access requirements.

### Scope
- [ ] Install and configure Laravel Breeze with Blade scaffolding
- [ ] Enable email verification and password reset notifications
- [ ] Configure session timeout defaults and remember-me toggle

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Multi-site/tenant scope enforced (if applicable)
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None","epic:AuthUserManagement,type:Feature,priority:P0,area:Backend",Week 1
E1-F1-I2,"E1-F1-I2: Enforce password policy and session guard","### Summary
Implement configurable password complexity rules and session timeout enforcement aligned with security requirements.

### Scope
- [ ] Define password validation rules (length, character sets, reuse policy)
- [ ] Implement session timeout with configurable idle threshold
- [ ] Add validation feedback to auth views and localization strings

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Multi-site/tenant scope enforced (if applicable)
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F1-I1","epic:AuthUserManagement,type:Feature,priority:P0,area:Security",Week 1
E1-F1-I3,"E1-F1-I3: Implement authentication audit trail","### Summary
Capture login, logout, and credential update events in an immutable audit log for compliance.

### Scope
- [ ] Configure audit log channel and schema for auth events
- [ ] Instrument login/logout/reset flows to emit events
- [ ] Provide admin view filterable by user and date range

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Multi-site/tenant scope enforced (if applicable)
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F1-I1","epic:AuthUserManagement,type:Feature,priority:P0,area:Observability",Week 2
E1-F2-I1,"E1-F2-I1: Build user administration dashboard","### Summary
Create an admin-facing CRUD interface for managing users with search, filters, and pagination.

### Scope
- [ ] Generate Filament resource for users with soft delete support
- [ ] Add search by email/name and role filters
- [ ] Include bulk actions for activate/deactivate

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Multi-site/tenant scope enforced (if applicable)
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F1-I1","epic:AuthUserManagement,type:Feature,priority:P0,area:AdminUI",Week 2
E1-F2-I2,"E1-F2-I2: Implement role and permission assignment","### Summary
Enable administrators to assign roles (Admin, Editor, Author, Viewer) and enforce middleware guards per route.

### Scope
- [ ] Seed default roles and permissions aligned with workflow
- [ ] Protect admin routes with permission middleware
- [ ] Expose role assignment UI in user detail view

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Multi-site/tenant scope enforced (if applicable)
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F2-I1","epic:AuthUserManagement,type:Feature,priority:P0,area:RBAC",Week 2
E1-F2-I3,"E1-F2-I3: Record user management audits","### Summary
Log create, update, delete actions performed on user accounts for accountability.

### Scope
- [ ] Emit audit events for CRUD actions in user dashboard
- [ ] Store actor, target user, change summary, and timestamp
- [ ] Provide export to CSV for compliance review

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Multi-site/tenant scope enforced (if applicable)
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F2-I1","epic:AuthUserManagement,type:Feature,priority:P1,area:Observability",Week 3
E2-F1-I1,"E2-F1-I1: Design unified content schema","### Summary
Define database schema and Eloquent models to support unified posts/pages content with required fields.

### Scope
- [ ] Create migrations for content, revisions, and scheduling tables
- [ ] Implement Eloquent models with relationships to authors and media
- [ ] Add repository interfaces for content retrieval

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Multi-site/tenant scope enforced (if applicable)
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F2-I2","epic:ContentManagement,type:Feature,priority:P0,area:Backend",Week 1
E2-F1-I2,"E2-F1-I2: Implement content lifecycle states","### Summary
Add draft, review, published, and scheduled states with validation for publish dates.

### Scope
- [ ] Add state machine or enums to model workflow states
- [ ] Enforce publish_at scheduling with queue worker dispatch
- [ ] Provide policy hooks restricting actions per role

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Multi-site/tenant scope enforced (if applicable)
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F1-I1","epic:ContentManagement,type:Feature,priority:P0,area:Workflow",Week 2
E2-F1-I3,"E2-F1-I3: Enable revision history and rollback","### Summary
Provide version history for content with the ability to preview and restore previous revisions.

### Scope
- [ ] Store revision snapshots on update with diff metadata
- [ ] Create UI to compare revisions and trigger rollback
- [ ] Emit events for revision creation and restore

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Multi-site/tenant scope enforced (if applicable)
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F1-I2","epic:ContentManagement,type:Feature,priority:P1,area:AdminUI",Week 3
E2-F2-I1,"E2-F2-I1: Integrate rich text editor","### Summary
Embed CKEditor with media embedding, formatting toolbar, and autosave support for drafts.

### Scope
- [ ] Configure CKEditor build with required plugins
- [ ] Wire autosave API endpoint with throttling
- [ ] Implement preview mode rendering via signed route

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Multi-site/tenant scope enforced (if applicable)
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F1-I1","epic:ContentManagement,type:Feature,priority:P0,area:Editor",Week 2
E2-F2-I2,"E2-F2-I2: Build content duplication and quick publish","### Summary
Allow editors to duplicate existing content and publish immediately when permitted.

### Scope
- [ ] Add duplicate action that clones content, taxonomy, media, and metadata
- [ ] Respect workflow permissions on quick publish
- [ ] Provide toast notifications summarizing actions

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Multi-site/tenant scope enforced (if applicable)
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F2-I1","epic:ContentManagement,type:Feature,priority:P1,area:Workflow",Week 3
E2-F2-I3,"E2-F2-I3: Configure content preview links","### Summary
Generate signed preview URLs with expiration for draft and review states.

### Scope
- [ ] Create signed route with expiration enforcement
- [ ] Add preview request logging with actor metadata
- [ ] Surface preview link copy action in editor UI

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Multi-site/tenant scope enforced (if applicable)
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F2-I1","epic:ContentManagement,type:Feature,priority:P1,area:Security",Week 3
E3-F1-I1,"E3-F1-I1: Implement media upload pipeline","### Summary
Provide validated media uploads with storage abstraction and thumbnail generation.

### Scope
- [ ] Configure Flysystem drivers for local and S3 targets
- [ ] Enforce file validation rules and MIME restrictions
- [ ] Generate queued thumbnail jobs with optimization

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Multi-site/tenant scope enforced (if applicable)
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F1-I1","epic:MediaLibrary,type:Feature,priority:P0,area:Storage",Week 2
E3-F1-I2,"E3-F1-I2: Build media browser interface","### Summary
Create centralized media browser with search, filters, and pagination for reuse across editors.

### Scope
- [ ] Develop Filament media manager with metadata columns
- [ ] Add filters for type, uploader, and date range
- [ ] Support insertion into content editor via modal picker

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Multi-site/tenant scope enforced (if applicable)
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E3-F1-I1","epic:MediaLibrary,type:Feature,priority:P1,area:AdminUI",Week 3
E3-F1-I3,"E3-F1-I3: Support media replacements with stable URLs","### Summary
Allow replacing an existing media file while keeping the canonical URL unchanged.

### Scope
- [ ] Implement versioned storage and metadata retention
- [ ] Validate replacement permissions and file type compatibility
- [ ] Update CDN cache invalidation hooks post-replace

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Multi-site/tenant scope enforced (if applicable)
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E3-F1-I1","epic:MediaLibrary,type:Feature,priority:P1,area:Storage",Week 3
E3-F1-I4,"E3-F1-I4: Link media to content entities","### Summary
Establish polymorphic relationships connecting media assets to posts and pages for attachment tracking.

### Scope
- [ ] Create pivot tables with indexes for content-media links
- [ ] Update repositories to eager load media associations
- [ ] Ensure deletion policies respect orphan cleanup rules

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Multi-site/tenant scope enforced (if applicable)
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E3-F1-I1","epic:MediaLibrary,type:Feature,priority:P1,area:Backend",Week 3
E4-F1-I1,"E4-F1-I1: Implement taxonomy schema","### Summary
Create categories and tags with hierarchical support and relationships to content.

### Scope
- [ ] Define migrations and models for categories and tags
- [ ] Add pivot tables with indexes for tag assignments
- [ ] Enforce unique slugs scoped by taxonomy type

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Multi-site/tenant scope enforced (if applicable)
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F1-I1","epic:TaxonomyMetadata,type:Feature,priority:P0,area:Backend",Week 2
E4-F1-I2,"E4-F1-I2: Build taxonomy management UI","### Summary
Deliver admin CRUD interfaces with hierarchy controls and SEO metadata fields.

### Scope
- [ ] Create Filament resources for categories and tags
- [ ] Support drag-and-drop reordering and parent assignment
- [ ] Include meta title/description/canonical fields with validation

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Multi-site/tenant scope enforced (if applicable)
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E4-F1-I1","epic:TaxonomyMetadata,type:Feature,priority:P1,area:AdminUI",Week 3
E4-F1-I3,"E4-F1-I3: Generate sitemap and robots management","### Summary
Automate XML sitemap generation and editable robots.txt based on taxonomy and content.

### Scope
- [ ] Build scheduled job to generate sitemap indexes and detail files
- [ ] Create admin UI for robots.txt editing with validation
- [ ] Integrate with cache busting when taxonomy/content changes

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Multi-site/tenant scope enforced (if applicable)
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E4-F1-I1","epic:TaxonomyMetadata,type:Feature,priority:P1,area:SEO",Week 3
E4-F1-I4,"E4-F1-I4: Apply taxonomy-aware routing","### Summary
Implement URL structures incorporating category slugs and expose filters on listings.

### Scope
- [ ] Define route patterns /blog/{category}/{slug} with fallback rules
- [ ] Update controllers to filter content by taxonomy in admin and public views
- [ ] Add query scopes and indexes for taxonomy filters

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Multi-site/tenant scope enforced (if applicable)
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E4-F1-I1","epic:TaxonomyMetadata,type:Feature,priority:P1,area:Routing",Week 3
E5-F1-I1,"E5-F1-I1: Configure publishing workflow transitions","### Summary
Model draft to review to published transitions with permission-guarded actions.

### Scope
- [ ] Define workflow service orchestrating status transitions
- [ ] Map role permissions to available transitions
- [ ] Log workflow changes with actor context

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Multi-site/tenant scope enforced (if applicable)
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F1-I2","epic:PublishingWorkflow,type:Feature,priority:P0,area:Workflow",Week 2
E5-F1-I2,"E5-F1-I2: Implement scheduling queue integration","### Summary
Support scheduled publishing via queue workers respecting publish_at timestamps.

### Scope
- [ ] Configure queue job to publish scheduled content
- [ ] Ensure cron/queue worker orchestration with retries
- [ ] Notify stakeholders on scheduled publish execution

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Multi-site/tenant scope enforced (if applicable)
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E5-F1-I1","epic:PublishingWorkflow,type:Feature,priority:P0,area:DevOps",Week 2
E5-F1-I3,"E5-F1-I3: Deliver publish notifications and change logs","### Summary
Send notifications for review approvals and maintain change history for workflow events.

### Scope
- [ ] Create notification classes for workflow events
- [ ] Persist change logs with actor, timestamp, and notes
- [ ] Provide admin UI to review workflow change history

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Multi-site/tenant scope enforced (if applicable)
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E5-F1-I1","epic:PublishingWorkflow,type:Feature,priority:P1,area:Notifications",Week 3
